DEMOGRAPHICS,,,,,,,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,WHAT INFLUENCED YOUR DECISION TO PURCHASE TIC TAC MINI PACKS?,,,,,,,,,WHERE DID YOU FIND THE PRODUCT? ,,WHERE DID YOU EXPECT TO FIND THE PRODUCT? ,,,WHICH BRAND OF CANDY/MINTS DO YOU TYPICALLy PURCHASE?  ,,,,,
Survey Respondent,Gender,Age Tier,Flavor Purchased, Did you purchase and try Tic Tac Mini Packs,When do you plan on trying the product?  ,"After trying the product, what did you like the most? ","After trying the product, what did you like the least?",What did you think of the flavor you redeemed? ,When was the last time you purchased a Tic Tac?  ,Tastes great,Easy to share,The unique flavors,It’s the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,I like Tic Tac and wanted to try Tic Tac Mini Packs,"I wanted to try the flavors offered (Freshmint, Tropical Mix)",Tic Tac Mini Packs was more appealing than the candy/mints I usually buy,Tic Tac Mini Packs provided more value than the other candy/mints I usually buy,I like the convenience of the multi-serve packaging ,The Ibotta Rebate,"Other, please specify...","Other, please specify... [text",Were you able to easily find Tic Tac Mini Packs? ,Where did you find the product? ,Where did you find the product?  [other],Where did you expect to find the product? ,Where did you expect to find the product?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase?  ,Which brand of candy/mints do you typically purchase?   [other],Would you consider yourself loyal to that brand? ,How likely are you to repurchase Tic Tac Mini Packs the next time you buy candy/mints? ,"In the future, how often would you purchase Tic Tac Mini Packs? ",Why would you likely not repurchase Tic Tac Mini Packs? 
Respondent 414,F,35-44,Fresh Mint,Yes,,"My son can eat those things like candy, and so could I! I love that it gives me a portion control size as opposed to carrying a whole case and eating all of them at once",I don't dislike anything really! I am pretty pleased,Extremely Liked ,In the last month,1,1,1,,,,,1,1,,,1,,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands ",Definitely would ,Once a Month,
Respondent 415,F,35-44,Tropical Mix,Yes,,Small packets ,Hard to open,Moderately Liked  ,Four to seven days ago,,1,,,,,,1,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 416,F,25-34,Fresh Mint,Yes,,Lots of individually wrapped packs.,"There are four per pack, I usually have two tic tacs at a time not four. However I do understand for packaging purposes why it would be silly to wrap every two. ",Slightly Liked,Four to seven days ago,1,,1,,1,,,,,,,,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Probably would ,Once a Month or less,
Respondent 417,F,25-34,Fresh Mint,Yes,,Size,N/a,Extremely Liked ,Two or three days ago,1,1,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month or less,
Respondent 418,F,25-34,Tropical Mix,Yes,,That they are small enough to put in my pocket and my lunchbox!,The mango flaver,Extremely Liked ,Two or three days ago,1,,,,1,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Starburst,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 419,F,25-34,Multiple Flavors,Yes,,The convenience ,Nothing,Moderately Liked  ,In the last month,1,1,1,1,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 420,F,25-34,Tropical Mix,Yes,,The taste,The packs being so small,Extremely Liked ,In the last month,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 421,F,25-34,Fresh Mint,Yes,,Them being in individual packs,"The mint flavor isn't my favorite, would rather have had wintergreen or the fruit ones.",Slightly Disliked,Rarely or Never,,1,,,1,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 422,F,35-44,Multiple Flavors,Yes,,Easy for the kids,Having them all over my living room,Moderately Liked  ,In the last month,,,,,,,1,,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month or less,
Respondent 423,F,45-54,Tropical Mix,Yes,,The flavor,Price,Extremely Liked ,Four to seven days ago,1,1,,,1,,,1,1,,,,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 424,F,35-44,Multiple Flavors,Yes,,Excellent ,N/a,Extremely Liked ,Four to seven days ago,,,1,,,,,,,1,,,,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 425,F,45-54,Fresh Mint,Yes,,Fresh breath ,The size ,Moderately Liked  ,Longer than a month ago,,,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands ",Probably would ,Every 2-3 Weeks,
Respondent 426,F,65+,Fresh Mint,Yes,,The convince of the individual servings,Nothing,Extremely Liked ,In the last month,1,1,,1,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 427,M,25-34,Tropical Mix,Yes,,Convenient packaging,Nothing,Extremely Liked ,Longer than a month ago,1,,,,,,,1,,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Starburst,,"No, I’m not loyal to any brands ",Probably would ,Once a Month or less,
Respondent 428,F,35-44,Tropical Mix,Yes,,The mix of flavors.,Needed more flavors.,Moderately Liked  ,Longer than a month ago,,1,,,,,,1,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Starburst,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 429,F,35-44,Multiple Flavors,Yes,,Individual packaging ,Nothing,Extremely Liked ,In the last month,1,1,1,,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Definitely would ,Once a Month or less,
Respondent 430,F,35-44,Multiple Flavors,Yes,,It was fun to have the tiny pack to toss in my pocket and pretend not to eat to many at a time.,The the packs were so small!,Extremely Liked ,Two or three days ago,1,1,,,,,1,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would not ,,They were very small. It was fun to try though.
Respondent 431,F,35-44,Tropical Mix,Yes,,The fruit flavor,Nothing,Extremely Liked ,In the last month,1,,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"Yes, I always purchase the same candy/mints brand",Probably would ,Every 2-3 Weeks,
Respondent 432,F,55-64,Tropical Mix,Yes,,Small individual packet. Easy to carry in purse and pocket,The bag they came in. It would be nice if it was a ziploc bag,Moderately Liked  ,Rarely or Never,,1,,,1,,,,,,,,1,,,"No, I had to go to more than one store to find it",,,In the checkout lane with the other mints,,Single Pack,Starburst,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 433,F,45-54,Fresh Mint,No,As soon as I finish my current candy/mints,,,,In the last month,1,1,1,,1,,,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month or less,
Respondent 434,F,25-34,Fresh Mint,Yes,,Being able to have something to freshen my breath that doesn't take up to much room in my purse.,Not enough flavors ,Extremely Liked ,In the last month,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 435,F,25-34,Multiple Flavors,Yes,,That I can just grab one and go! ,Too many little packs of trash,Extremely Liked ,In the last month,1,1,1,1,1,,1,1,1,1,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 436,F,45-54,Fresh Mint,Yes,,yasye,nothing,Neither Liked nor Disliked,Four to seven days ago,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 437,F,55-64,Multiple Flavors,Yes,,The package size ,I love these,Extremely Liked ,Four to seven days ago,1,1,1,1,1,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I’m not loyal to any brands ",Definitely would ,Once a Week,
Respondent 438,F,35-44,Multiple Flavors,Yes,,Convenience,Like to see it in orange flavor only,Moderately Liked  ,Four to seven days ago,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Skittles,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 439,F,35-44,Fresh Mint,Yes,,Taste,The packaging. Too much garbage after opening them.,Extremely Liked ,Longer than a month ago,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Definitely would not ,,It's more convenient to eat tic tacs from the original packaging.
Respondent 440,F,35-44,Fresh Mint,Yes,,Individu packs to share ,Nothing ,Extremely Liked ,In the last month,,,,,1,,,,,,,,1,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 441,F,35-44,Fresh Mint,Yes,,Freshness,More in bag,Moderately Liked  ,In the last month,1,1,,,,,1,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 442,F,25-34,Multiple Flavors,Yes,,The sweet fruit flavor. ,The mint flavor. ,Extremely Liked ,Yesterday,1,,,,1,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 443,F,45-54,Fresh Mint,Yes,,That you could take as many mini packets as you wanted.,That there were only 4 in each.,Extremely Liked ,Four to seven days ago,1,1,1,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 444,F,25-34,Multiple Flavors,Yes,,There are 4 in a packet and not just 2!,Nothing. I love them.,Extremely Liked ,In the last month,,1,,,,,,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 445,F,45-54,Fresh Mint,Yes,,Strong flavor,Nothing,Extremely Liked ,Four to seven days ago,1,1,,,1,,1,,,,,1,,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Mentos,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 446,F,45-54,Multiple Flavors,Yes,,Convienience and shareable!,My work team cleared them out too fast!,Extremely Liked ,Four to seven days ago,1,1,1,,1,1,,1,1,,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 447,M,35-44,Multiple Flavors,Yes,,I could put a mini pack in my purse and not have it clank around.,I loved them!,Extremely Liked ,Today,1,,,,1,,,1,1,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 448,F,25-34,Fresh Mint,Yes,,Perfect serving size for my liking. ,Being a mother of 4 I'm finding tic tac wrappers everywhere ,Moderately Liked  ,In the last month,,1,,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I’m not loyal to any brands ",Probably would ,Once a Month or less,
Respondent 449,F,35-44,Tropical Mix,Yes,,The convenience of on the go packaging & new flavors ,There was nothing I didn't like about them ,Extremely Liked ,Longer than a month ago,1,1,1,1,1,,,1,1,1,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 450,F,55-64,Tropical Mix,Yes,,Toni packs.  Conveniently fits in your pocket.,Pretty much have to eat all 4 tic tacs at once.,Moderately Liked  ,Longer than a month ago,,,,1,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",Might/Might Not ,Once a Month or less,
Respondent 451,F,35-44,Fresh Mint,Yes,,How it is easy to carry in pockets,Lack of flavor choices,Extremely Liked ,Two or three days ago,1,1,,,,,,1,,1,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 452,F,45-54,Fresh Mint,Yes,,same taste,none,Extremely Liked ,Four to seven days ago,,,,1,,,,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",Probably would ,Once a Week,
Respondent 453,F,65+,Tropical Mix,Yes,,I liked the four pack. This way I can give to t he kids in small quanity,Nothing,Extremely Liked ,Longer than a month ago,1,1,1,,1,,,,,,,,1,,,"Yes, I found it immediately ","Other, please specify...","Where the gum is displayed, next to the candy",,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands ",Definitely would ,Once a Month,
Respondent 454,F,45-54,Tropical Mix,Yes,,Flavor,Package hard to open,Moderately Liked  ,Two or three days ago,1,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 455,F,25-34,Tropical Mix,Yes,,Individual packaging,Price a little bit too high,Extremely Liked ,Four to seven days ago,1,,,,,,,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 456,F,45-54,Multiple Flavors,Yes,,The taste ,Nothing ,Extremely Liked ,Four to seven days ago,,,1,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Ice Breakers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 457,F,45-54,Tropical Mix,Yes,,Bold flavor,There was nothing I didn't like about the product,Extremely Liked ,Four to seven days ago,,,1,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 458,F,55-64,Tropical Mix,Yes,,Flavor and convient packs,Nothing.  ,Extremely Liked ,Two or three days ago,1,1,,,1,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 459,F,35-44,Fresh Mint,Yes,,That they didn't make a lot of noise rattling in my purse ,Bothin,Extremely Liked ,In the last month,1,1,1,1,,,1,1,,,,,,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Single Pack,Skittles,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 460,F,25-34,Multiple Flavors,Yes,,Individual packs,Package does close after opening,Extremely Liked ,Four to seven days ago,1,,,,,,,1,,,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 461,F,25-34,Fresh Mint,Yes,,I like the small container they came in.,I wish I would have tried the mint flavor ,Moderately Liked  ,Four to seven days ago,1,1,,1,1,,,1,1,1,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Every 2-3 Weeks,
Respondent 462,F,55-64,Fresh Mint,Yes,,"Flavor, convenient packaging.",Nothing,Extremely Liked ,Four to seven days ago,1,1,1,1,1,1,1,1,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 463,F,45-54,Fresh Mint,Yes,,It is very convenient to take out because it fits in my purse easily when I place the little packs in any corner still carrying a large amount of mints. It can also easily fit in your pocket! It is also very neat because I know exactly how many comes in each little pouch so it is hygienic to give it to someone without turning the original packaging on someone's hand and ending up with like a dozen mints at once!,"It is one option only. Four mints per pack. It would be great if we had various packs like two per pack, 4, 6...",Extremely Liked ,In the last month,1,1,1,,,,,1,,,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 464,F,35-44,Tropical Mix,Yes,,Single serving convenience,Probably price,Extremely Liked ,Four to seven days ago,1,,,1,1,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 465,F,15-24,Tropical Mix,Yes,,I liked the easiness of grabbing one little pack on the go. ,I wished there were more flavors,Moderately Liked  ,Four to seven days ago,1,1,1,1,1,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 466,F,25-34,Multiple Flavors,Yes,,The value,The flavor,Slightly Disliked,In the last month,,1,1,,1,,,1,,,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 467,F,55-64,Fresh Mint,Yes,,I have always liked the mint tic tacs  and love how the mini packs fit nicely in my packet when at work.  I work with elementary students at a public school which requires a fair amount of talking so my mouth gets dry.    The mini packs are much quieter to use than the plastic containers that tic tacs usually come in.  ,I can honestly say that I liked everything about them.  I haven't been able to find mini packs of any flavor other than the mint ones though.  ,Extremely Liked ,Today,1,,,1,1,,,1,,,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 468,F,25-34,Tropical Mix,Yes,,The mix of flavors,all the extra packaging/plastic waste,Moderately Liked  ,Longer than a month ago,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"Other, please specify...",Trader Joe's Myntz,"Yes, I always purchase the same candy/mints brand",Might/Might Not ,Once a Month or less,
Respondent 469,F,35-44,Tropical Mix,Yes,,I loved the new flavors and the little travel size.,Nothing!,Extremely Liked ,Four to seven days ago,1,1,1,,,,1,1,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Every 2-3 Weeks,
Respondent 470,F,35-44,Fresh Mint,Yes,,Very cute little packaging. Fresh taste,Very difficult to open the package,Moderately Liked  ,Four to seven days ago,,1,,1,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 471,M,25-34,Tropical Mix,Yes,,I like big value pack,I like all of them,Moderately Liked  ,Four to seven days ago,1,,1,1,1,,1,1,1,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 472,F,45-54,Tropical Mix,Yes,,The small packets and variety,The price,Moderately Liked  ,In the last month,1,,1,,,,1,1,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 473,F,25-34,Multiple Flavors,Yes,,Flavor,Nothing,Extremely Liked ,Four to seven days ago,1,1,,,,,,1,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I’m not loyal to any brands ",Definitely would ,Once a Month,
Respondent 474,F,25-34,Fresh Mint,Yes,,Convenient small packs,4pcs in a pack,Extremely Liked ,Four to seven days ago,,,,1,1,,,,,,,1,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Multipack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 475,F,35-44,Fresh Mint,Yes,,That I can stick a couple of the packs in my pants pocket and not have to worry about them opening like the normal packaging,Nothing ,Extremely Liked ,Two or three days ago,1,1,1,1,1,,,1,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Mentos,,"No, I’m not loyal to any brands ",Definitely would ,Once a Month,
Respondent 476,F,45-54,Multiple Flavors,Yes,,Taste,Packaging of mints,Moderately Liked  ,Two or three days ago,,1,,,1,,,,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month or less,
Respondent 477,M,45-54,Multiple Flavors,Yes,,convenience in pocket,"environmental impact; misleading ""caloric impact"" (serving should be 1 pack)",Extremely Liked ,In the last month,1,,1,,,,,,,,,1,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 478,F,45-54,Tropical Mix,Yes,,"The tropical mix flavor, I have a large family and they were fighting over them.",The mint type were too strong for my kids.,Extremely Liked ,In the last month,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Skittles,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 479,F,45-54,Fresh Mint,Yes,,Cute small package ,N/A,Moderately Liked  ,Four to seven days ago,,1,,,,,,,1,,,,,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 480,F,35-44,Fresh Mint,Yes,,Easy to take with me and not noisy like regular tic tac boxes,I wish there were more flavor varieties in this type of packaging,Moderately Liked  ,In the last month,,1,1,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month or less,
Respondent 481,M,25-34,Fresh Mint,Yes,,Small portion size,Hard to get in to the main package,Moderately Liked  ,Rarely or Never,1,1,,,1,,,,,,1,1,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 482,F,35-44,Multiple Flavors,Yes,,Taste ,Nothing,Extremely Liked ,Four to seven days ago,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 483,F,35-44,Multiple Flavors,Yes,,They were packaged for easy use.  ,There wasn't anything I didn't like.,Extremely Liked ,Rarely or Never,1,,,1,,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"Yes, I always purchase the same candy/mints brand",Probably would ,Every 2-3 Weeks,
Respondent 484,F,55-64,Fresh Mint,Yes,,Taste,Nothing,Extremely Liked ,Four to seven days ago,1,1,1,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 485,F,55-64,Fresh Mint,Yes,,The individual wrapping,The packaging of the whole - it was hard to open and you cannot resell so it dumps in your purse.,Extremely Liked ,In the last month,,,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 486,F,45-54,Fresh Mint,Yes,,that I could throw a few in my pocket or purse without the jingle jingle of a plastic pack full,nothing really,Extremely Liked ,Rarely or Never,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"Other, please specify...",I usually do not purchase,"No, I’m not loyal to any brands ",Probably would ,Once a Month or less,
Respondent 487,F,35-44,Tropical Mix,Yes,,the size of the packets were perfect,"each pack contained the same flavor, it would have been nice to have a mixture in each tiny packet",Extremely Liked ,In the last month,1,,1,,1,,,1,,,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 488,F,25-34,Multiple Flavors,Yes,,size,cost,Moderately Liked  ,Four to seven days ago,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Multipack,Starburst,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 489,F,35-44,Fresh Mint,Yes,,"I like that I do not have to open a whole package, I can just take one individually wrapped pack and not waste alot.","Nothing, I love tic tacs",Extremely Liked ,Two or three days ago,1,1,1,,,,,1,,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 490,F,35-44,Tropical Mix,Yes,,The portability and sharabiity of the prepackaged individual serving sizes.,"Albeit a very small amount, the trash left behind by each package consumed.",Extremely Liked ,Four to seven days ago,1,1,,,1,,,1,1,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 491,F,25-34,Multiple Flavors,Yes,,The individual size packages. Makes it easier to share!,Some of the flavors of the tropical weren't the best.,Moderately Liked  ,In the last month,1,1,1,,,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 492,F,45-54,Tropical Mix,Yes,,"The variety, my favorite are the orange ones. ",I can't think of anything I didn't like about them. ,Extremely Liked ,In the last month,1,1,,,,,1,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 493,F,55-64,Fresh Mint,Yes,,Flavor,Nothing,Moderately Liked  ,Longer than a month ago,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 494,F,35-44,Fresh Mint,Yes,,Amount of tic tacs in each little bag,Big bag opened too easily allowing small bags to spill out. Would prefer a bag that can be revealed.,Moderately Liked  ,Four to seven days ago,1,,,,,,,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 495,F,25-34,Fresh Mint,Yes,,Mint,Burn,Moderately Liked  ,Two or three days ago,,1,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I’m not loyal to any brands ",Definitely would ,Every 2-3 Weeks,
